#V         I      R=V/I    
3.01     0.017	  177.0588235 
3.48	  0.019	  183.1578947 
4.01	  0.022	  182.2727273 
4.49	  0.024	  187.0833333 
5.01	  0.027	  185.5555556 
5.63	  0.03	  187.6666667 
6.01	  0.032	  187.8125 
6.51	  0.035	  186 
7.06	  0.037	  190.8108108 
7.47	  0.04	  186.75 
7.95	  0.042	  189.2857143 
8.47	  0.045	  188.2222222 
9.16	  0.048	  190.8333333 
9.49	  0.05	  189.8 
10.13	  0.053	  191.1320755 
10.53	  0.055	  191.4545455 
11.06	  0.058	  190.6896552 
11.49	  0.06	  191.5 
12.3	  0.064	  192.1875 
13.02	  0.068	  191.4705882 
13.5	  0.07	  192.8571429 
14.06	  0.073	  192.6027397 
14.71	  0.076	  193.5526316 
15.1	  0.078	  193.5897436 

